pitcher,xfp_v12,zone_pct,xwoba_per_pa,ip_resid_lag1,k_pct_lag1,pitch_entropy,bb_pfxz,pitching_plus,fp_strike_pct,il_60_stints_lag1,player_name,xfp_v11,xfp_v8_5,gs_2026,fp_per_start_actual_2026,k_pct_2026,stuff_xfp,ip_premium,rolling_ip_last5,ip_trend,ip_trend_score,v11_has_pitching_plus,delta_v12_v11,rank_v12,rank_v11,rank_change
665152,10.784,0.49210441508217856,0.22613008415656388,0.0884627819506143,0.2002820874471086,1.5139793771553758,-0.8029032258064517,92.51218390804598,0.6744186046511628,0.0,"Kremer, Dean",11.071896372328876,11.225789287098682,,,,10.238402729702086,0.9846610415834736,4.6,NORMAL,0.0327385101366957,True,-0.288,78,65,-13
450203,10.775,0.4880812817506839,0.21719183802528333,0.2043061654862086,0.2336182336182336,1.4558151828848556,-0.7447540983606558,94.8555900255115,0.600609756097561,0.0,"Morton, Charlie",9.938504636185412,10.06674224658857,,,,9.920064853819303,0.155502688221695,,NORMAL,,True,0.836,79,99,20
656427,10.726,0.4599636032757052,0.19718415774558665,-0.09547422272783557,0.2760646108663729,1.3074164426285615,-0.1694444444444444,87.5787755102041,0.5886524822695035,0.0,"Flaherty, Jack",10.873773991033794,11.389087901455891,7.0,4.928571428571428,0.2198581560283688,11.513375343502815,-0.1162075895197318,4.066666666666667,LOW,-0.5922571228383676,True,-0.148,80,73,-7
682052,10.656,0.4738970588235294,0.19716826995457956,-0.30160962919894896,0.2793017456359102,1.4876438416484223,0.1848366013071895,93.4243034806686,0.541095890410959,0.0,"Lopez, Jacob",10.959017140379276,11.435754898887112,6.0,3.9166666666666656,0.1575342465753424,11.87504866486377,-0.4367513783033754,4.599999999999999,LOW,-1.1558639449196393,True,-0.303,81,68,-13
687064,10.648,0.47734271887373503,0.2354735413957716,-0.4986314234885283,0.18359375,1.4662734311825552,-0.2123880597014925,104.13191666666668,0.6764705882352942,0.0,"Young, Brandon",9.371097099900576,8.76275103811054,3.0,1.3999999999999992,0.1176470588235294,9.341304252293998,-0.5793873966112724,5.266666666666666,NORMAL,-0.2401566310352878,True,1.277,82,118,36
702070,10.645,0.49254901960784314,0.2316257950691026,0.46185475325976366,0.2046678635547576,1.555342489414525,-0.3830496453900709,102.38273641851109,0.6041666666666666,0.0,"Cameron, Noah",9.26447878299572,9.235192385422083,6.0,7.0666666666666655,0.1944444444444444,9.063229833407563,0.1714721548610995,5.199999999999999,NORMAL,-0.0389269310751201,True,1.38,83,121,38
608379,10.632,0.5179937022042285,0.2360585867245186,0.2816022090000079,0.1759776536312849,1.7007372542155244,-0.3010204081632653,98.16103756708408,0.6621621621621622,0.0,"Wacha, Michael",9.876021576210404,9.948768079255164,6.0,14.316666666666665,0.2229729729729729,9.380332627845863,0.5670620119926912,6.466666666666667,HIGH,0.6361127063168627,True,0.756,84,101,17
680694,10.617,0.4327518289251547,0.20072540381791482,0.2314663357848863,0.25,1.3470317417808488,-0.4304451038575668,97.1001898734177,0.5159235668789809,1.0,"Bradish, Kyle",8.271469221191392,8.381652469875764,,,,8.657455346178477,-0.2623756642520316,4.866666666666665,NORMAL,-0.0171868196258095,True,2.345,85,149,64
681857,10.612,0.4335904027420736,0.21438275252252503,-0.3637836806022907,0.2172043010752688,1.5129245559021256,-0.4515987460815047,96.78856401384084,0.6097560975609756,0.0,"Olson, Reese",10.224479576490127,10.203754727520192,,,,10.518619509564274,-0.3155447805154381,,NORMAL,,True,0.388,86,87,1
669372,10.548,0.43489334606813107,0.2046196592603905,-0.4462921008718448,0.2525510204081632,1.5474168011074436,-0.2973684210526316,98.07432631425276,0.5403225806451613,0.0,"Ginn, J.T.",10.88775821384011,10.938215521772523,5.0,8.939999999999998,0.1869918699186991,11.331802964489084,-0.3961857745120074,4.333333333333334,LOW,-0.5408877977656057,True,-0.339,87,72,-15
