batter_name,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,contact_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,pp_rank,dec_rank,con_rank,pow_rank,xwoba_rank,rank_gap,batscore,batscore_rank
Nick Senzel,669222,272,1023,0.0788881663163753,-0.0103012050886872,-0.0329933525096925,0.0355936087179955,112.8,97.3,95.0,96.1,0.469,0.27,0.801,0.174,0.105,0.344,272,-0.033,0.262,0.861,0.334,0.293,0.347,-0.085,,
Oswaldo Cabrera,665828,346,1336,0.0604193769970168,0.0205579234216365,-0.0455593405987601,0.0354179598198931,94.7,110.7,92.5,96.1,0.477,0.3,0.784,0.189,0.084,0.331,346,-0.046,0.262,0.259,0.785,0.213,0.265,-0.003,,
Chris Taylor,621035,268,1143,0.0951666420919589,-0.0538779062245427,-0.0063858176242136,0.0349029182432025,128.7,78.4,100.2,96.0,0.485,0.221,0.664,0.131,0.15,0.379,268,-0.006,0.252,0.995,0.007,0.523,0.637,-0.385,,
Thairo Estrada,642731,386,1324,0.0596899675770517,0.0304163166990675,-0.0551773942932888,0.0349288899828304,94.0,115.0,90.6,96.0,0.514,0.34,0.806,0.222,0.099,0.313,386,-0.055,0.252,0.243,0.881,0.15,0.132,0.12,,
Austin Martin,668885,257,934,0.0802783916081747,0.0217833353352389,-0.0668625119362533,0.0351992150071603,114.1,111.2,88.3,96.0,0.455,0.193,0.814,0.201,0.088,0.333,257,-0.067,0.252,0.889,0.809,0.094,0.289,-0.037,,
Pedro Pagés,686780,222,864,0.0565653799558688,-0.0116508572156068,-0.0101006817814292,0.0348138409588327,90.9,96.8,99.5,95.9,0.505,0.29,0.792,0.17,0.12,0.36,222,-0.01,0.246,0.165,0.314,0.5,0.484,-0.238,,
Jared Triolo,669707,464,1820,0.0741872591112039,-0.0161356091321722,-0.0234864237770017,0.0345652262020299,108.2,94.8,96.8,95.9,0.474,0.26,0.731,0.16,0.118,0.355,464,-0.023,0.246,0.73,0.251,0.378,0.446,-0.2,,
Korey Lee,686676,399,1443,0.0892613228477996,-0.0309871566264211,-0.0241880219938655,0.0340861442275129,122.9,88.4,96.7,95.8,0.59,0.337,0.691,0.178,0.196,0.354,399,-0.024,0.242,0.981,0.087,0.366,0.429,-0.187,,
Jorge Mateo,622761,211,823,0.0713014689874352,-0.0042206981663699,-0.033241921231119,0.0338388495899462,105.4,100.0,94.9,95.7,0.518,0.348,0.729,0.183,0.114,0.338,211,-0.033,0.24,0.655,0.436,0.286,0.31,-0.07,,
J. P. Crawford,641487,458,1929,0.0651707468783253,-0.0075613736503778,-0.0243658418854219,0.0332435313425256,99.4,98.5,96.7,95.6,0.411,0.202,0.856,0.152,0.072,0.346,458,-0.024,0.234,0.433,0.383,0.366,0.364,-0.13,,
Hunter Renfroe,592669,430,1683,0.0619455886054027,0.0168150209732818,-0.0458190256831042,0.0329415838955802,96.2,109.1,92.4,95.6,0.443,0.313,0.76,0.18,0.098,0.324,430,-0.046,0.234,0.317,0.755,0.205,0.203,0.031,,
