rank,pitcher,player_name,gs_to,fp_per_start_to,xfp_rp1_per_start,k_pct_to,bb_pct_to,swstr_pct_to,c_plus_swstr_to,zone_pct_to,z_swing_pct_to,o_swing_pct_to,avg_velo_to,xwoba_per_pa_to,xwoba_x_swstr_to,fp_per_start_to,gs_to,split_day
29,669022,"Gore, MacKenzie",6,12.55,11.861893211123887,0.3157894736842105,0.112781954887218,0.1306715063520871,0.2849364791288566,0.4718693284936479,0.6653846153846154,0.3024054982817869,90.20872727272727,0.3384090909090909,0.0442204256723312,12.55,6,30
30,663554,"Mize, Casey",5,14.66,11.831392676049703,0.2711864406779661,0.0847457627118644,0.1252847380410023,0.3029612756264236,0.4806378132118451,0.6303317535545023,0.293859649122807,89.62482915717541,0.2858119658119658,0.035807877265736,14.66,5,30
31,669302,"Gilbert, Logan",6,11.433333333333332,11.800658671920532,0.2536231884057971,0.0507246376811594,0.1454545454545454,0.3163636363636363,0.5054545454545455,0.6474820143884892,0.3014705882352941,88.00363636363636,0.3070514705882353,0.0446620320855614,11.433333333333332,6,30
32,519242,"Sale, Chris",5,14.939999999999998,11.74963382370368,0.2521739130434782,0.0608695652173913,0.1221719457013574,0.3122171945701357,0.5090497737556561,0.6222222222222222,0.3640552995391705,86.82556561085973,0.2826434782608695,0.0345311036789297,14.939999999999998,5,30
33,686218,"Sheehan, Emmet",5,11.339999999999998,11.70931903185253,0.2545454545454545,0.0818181818181818,0.1533180778032036,0.2997711670480549,0.4370709382151029,0.6596858638743456,0.3414634146341463,88.49633027522935,0.314890909090909,0.0482784688995215,11.339999999999998,5,30
34,666142,"Ragans, Cole",5,10.72,11.509278162399955,0.2844827586206896,0.1551724137931034,0.1440329218106996,0.3024691358024691,0.4506172839506173,0.6712328767123288,0.2696629213483146,89.63662551440329,0.3606695652173913,0.0519482912864555,10.72,5,30
35,647336,"Soroka, Michael",5,14.419999999999998,11.444890159818106,0.293103448275862,0.0603448275862069,0.1153846153846153,0.2884615384615384,0.4978632478632478,0.6609442060085837,0.3234042553191489,88.39850427350427,0.3383421052631579,0.0390394736842105,14.419999999999998,5,30
36,608331,"Fried, Max",5,18.88,11.389341334321417,0.2105263157894736,0.0676691729323308,0.10625,0.3,0.4979166666666667,0.5899581589958159,0.3070539419087137,87.79125,0.2321742424242424,0.0246685132575757,18.88,5,30
37,608379,"Wacha, Michael",5,17.54,11.378157474530141,0.2276422764227642,0.08130081300813,0.1271929824561403,0.2982456140350877,0.4692982456140351,0.6401869158878505,0.3305785123966942,87.03486842105264,0.3375284552845528,0.0429312508914562,17.54,5,30
38,645261,"Alcantara, Sandy",6,14.183333333333332,11.37749520234749,0.1626506024096385,0.0783132530120482,0.127208480565371,0.2968197879858657,0.5176678445229682,0.6655290102389079,0.3003663003663003,92.3655477031802,0.2809759036144578,0.0357425177742773,14.183333333333332,6,30
39,663460,"Bubic, Kris",5,12.859999999999996,11.358641457326275,0.2566371681415929,0.1150442477876106,0.1383219954648526,0.2970521541950113,0.4784580498866213,0.6587677725118484,0.2956521739130435,88.26439909297052,0.3420535714285714,0.0473135325558795,12.859999999999996,5,30
40,592662,"Ray, Robbie",6,14.316666666666665,11.29946991950074,0.2573529411764705,0.1029411764705882,0.1366782006920415,0.2750865051903114,0.4325259515570934,0.7,0.3109756097560975,88.49186851211073,0.3326315789473684,0.045463485703879,14.316666666666665,6,30
41,701542,"Warren, Will",6,13.016666666666666,11.297768010261338,0.2868217054263566,0.0542635658914728,0.0977011494252873,0.2950191570881226,0.5114942528735632,0.6067415730337079,0.2745098039215686,90.8795019157088,0.2973643410852713,0.0290528379221242,13.016666666666666,6,30
42,702273,"Schultz, Noah",3,12.533333333333331,11.232255628328907,0.2857142857142857,0.1428571428571428,0.1044176706827309,0.3172690763052209,0.4497991967871486,0.5357142857142857,0.2627737226277372,91.240562248996,0.3030491803278689,0.0316436895121469,12.533333333333331,3,30
43,676106,"Hancock, Emerson",5,14.639999999999995,11.189281844899005,0.2547169811320754,0.0377358490566037,0.1288888888888889,0.2533333333333333,0.5444444444444444,0.7673469387755102,0.2829268292682926,89.34022222222222,0.3118543689320389,0.0401945631067961,14.639999999999995,5,30
44,691587,"Pérez, Eury",6,8.883333333333333,11.066513406247815,0.2426470588235294,0.1029411764705882,0.1461100569259962,0.2637571157495256,0.4800759013282732,0.7628458498023716,0.2737226277372263,92.33250950570344,0.3529264705882353,0.0515661067083379,8.883333333333333,6,30
45,669923,"Kirby, George",6,14.783333333333331,11.034925227017212,0.1895424836601307,0.0588235294117647,0.108058608058608,0.2600732600732601,0.4945054945054945,0.6888888888888889,0.358695652173913,92.31431192660553,0.2693552631578947,0.0291061548101021,14.783333333333331,6,30
46,657746,"Ryan, Joe",6,11.116666666666664,10.997333369271956,0.25,0.0606060606060606,0.124074074074074,0.2777777777777778,0.5018518518518519,0.6863468634686347,0.3234200743494423,88.27574074074074,0.2810227272727272,0.0348676346801346,11.116666666666664,6,30
47,671737,"Bradley, Taj",6,13.866666666666664,10.982466166875666,0.2517006802721088,0.0884353741496598,0.1094276094276094,0.2727272727272727,0.4713804713804714,0.6535714285714286,0.2738853503184713,91.84343434343434,0.3247465753424657,0.035536241409529,13.866666666666664,6,30
48,693433,"Woo, Bryan",6,11.4,10.97116930440017,0.1914893617021276,0.0425531914893617,0.124223602484472,0.2670807453416149,0.5527950310559007,0.7191011235955056,0.3009259259259259,92.78944099378884,0.3030567375886525,0.0376467997004537,11.4,6,30
49,663436,"Martin, Davis",5,16.04,10.925700389838058,0.2203389830508474,0.059322033898305,0.1033707865168539,0.2921348314606741,0.5348314606741573,0.6134453781512605,0.2946859903381642,89.83213483146068,0.339093220338983,0.0350523328889735,16.04,5,30
