Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,CH,CU,FC,FS
Ryan Helsley,664854,957,5.074681295715778,2.78368116640274,2.647630113233365,8.161797571428572,2.824099362371134,8.161797571428572,4.013547236377025,1.6365887875026297,8.161797571428572
Hunter Harvey,640451,658,5.206580547112462,2.786549403778785,2.354396624770267,7.272741468095712,8.161797571428572,2.11662843220339,5.41299303755778,8.161797571428572,3.362537809322034
Zach Eflin,621107,1193,5.144233025984913,2.796293299559472,3.256451690748898,2.461899619624721,1.8617598523348016,2.9181078062303336,3.03179415561674,3.3433230076651976,8.161797571428572
Steven Matz,571927,849,5.22718492343934,2.801590125,8.161797571428572,3.213240544340193,5.953385089285715,2.0527078683673468,2.4914538628676466,8.161797571428572,8.161797571428572
Max Fried,608331,2818,5.0869268985095815,2.802525264388489,3.010169000376804,2.840392623547699,2.031766070491217,3.3282092588297107,2.783641952495614,8.161797571428572,8.161797571428572
Raisel Iglesias,628452,977,5.131156601842375,2.8144440772608714,3.379775702556911,2.837527675501308,2.247518602656547,2.6936935494714014,8.161797571428572,8.161797571428572,8.161797571428572
Félix Bautista,642585,982,5.092219959266803,2.8238998644639035,2.362491588226008,8.161797571428572,3.551800739847716,8.161797571428572,8.161797571428572,8.161797571428572,3.5990885167957605
Zach Pop,647315,536,4.983694029850746,2.8248364615384616,8.161797571428572,2.7906017880424656,2.9397870318949337,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Kirk McCarty,668948,561,5.098270944741533,2.8262865493351,2.577570330932291,8.161797571428572,2.9631135942477878,2.9170304342457296,2.771137628986475,3.103791528522805,8.161797571428572
Jhoan Duran,661395,1012,5.07806324110672,2.8272703724566286,2.712843993103448,8.161797571428572,8.161797571428572,8.161797571428572,3.2178011453201965,3.3721395400570384,2.3128417992684582
John Brebbia,605154,1091,5.142575618698441,2.830596088235294,2.6990248426995804,8.161797571428572,2.9435635631075256,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Kutter Crawford,676710,1296,5.177685185185185,2.8417425517241384,2.773678311576355,8.161797571428572,2.4962709324515826,5.822160785266458,2.753503592820029,2.396527339805825,8.161797571428572
John King,667463,749,5.04562082777036,2.845390441558441,8.161797571428572,2.630575842470506,3.078887341558441,3.1636427991202343,8.161797571428572,2.8563138944055946,8.161797571428572
Matt Bush,456713,896,5.076339285714286,2.84721447919992,2.430727422722937,8.161797571428572,8.161797571428572,8.161797571428572,2.9378236600084326,4.099355762459861,8.161797571428572
Phil Maton,664208,1086,5.15878453038674,2.8496428802338944,3.3439518436129565,4.091099222548757,1.675599314548322,8.161797571428572,2.6465367139038234,8.161797571428572,8.161797571428572
Daniel Hudson,543339,381,5.166377952755906,2.849858296192428,2.262709668765825,8.161797571428572,3.578613357292506,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Bailey Falter,663559,1295,5.101606177606177,2.8563083571428574,2.87971110306644,2.7999660121457493,2.866249362244898,3.336962475,2.736299075581396,8.161797571428572,8.161797571428572
Tim Hill,657612,745,5.095973154362416,2.8608795,3.2299586909871243,2.374764243975904,3.921193033854167,8.161797571428572,8.161797571428572,4.4368717125,8.161797571428572
Spencer Strider,675911,2277,5.187294685990339,2.862610336708861,2.1914810873542065,8.161797571428572,3.917364857271099,6.10193002869987,8.161797571428572,8.161797571428572,8.161797571428572
Cionel Pérez,672335,897,5.09505016722408,2.866823900477507,2.5939809333560007,2.5948456647398843,3.285007494856472,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Emilio Pagán,641941,1120,5.221633928571428,2.869618181122449,2.40982387588221,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572,3.4881920545256277,3.267525569847127
Drew Smith,622098,774,5.1701937984496125,2.8716210667340745,2.6601837886538013,4.566648735177864,2.506284359576968,5.268371925465839,3.4673367130434785,2.078778423913043,8.161797571428572
Héctor Neris,593576,1007,5.088977159880834,2.873348713454796,2.590279096067695,2.994521614867176,3.1026742319927965,8.161797571428572,8.161797571428572,8.161797571428572,3.165841635228849
Walker Buehler,621111,1046,5.118537284894837,2.8763790923076926,3.465026943391416,3.694433780769231,1.8250624647214853,3.2021164637898694,2.945057594784876,2.2278312848806365,8.161797571428572
Víctor Arano,644364,678,5.128908554572272,2.897852142857143,3.1864336583850927,3.6140605272459503,2.1798371603773576,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
