Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,ST,CH,CU,FC,FS
Tristan Beck,663941,1293,5.071554524361949,3.0880851750511806,3.772007794018784,11.202328847402596,2.4554266170051093,2.65812772554939,11.202328847402596,3.791534204683039,11.202328847402596,11.202328847402596
Nick Pivetta,601713,2372,5.143941821247892,3.095808100719453,3.1377871440577487,11.202328847402596,3.1524596503144218,2.2216129275700944,11.202328847402596,3.231397723011634,2.894767616696136,11.202328847402596
Matt Moore,519043,830,5.06910843373494,3.097316620253165,2.9959654737294064,11.202328847402596,11.202328847402596,11.202328847402596,3.1792872794547224,3.207929323299971,11.202328847402596,11.202328847402596
Tyler Wells,669330,1899,5.094407582938388,3.0990023122636985,3.5643590764021464,11.202328847402596,3.797970512540128,11.202328847402596,1.796589972562625,3.948277024958245,2.520105903928054,11.202328847402596
Ryne Nelson,669194,2354,5.122519116397622,3.099299625,3.0355445978599227,11.202328847402596,2.7663463780068724,11.202328847402596,4.473910493610223,3.960851752952756,2.0316791593934918,11.202328847402596
Mason Englert,669438,957,5.174827586206896,3.099965142857142,4.342317073220464,11.202328847402596,2.419872026785713,11.202328847402596,2.22696516796875,4.679975925502232,11.202328847402596,11.202328847402596
Kenta Maeda,628317,1700,5.12615294117647,3.101106306709265,4.156338179599336,3.8922626872233783,2.393985060065124,11.202328847402596,11.202328847402596,3.884560094816037,11.202328847402596,2.624836816665292
Graham Ashcraft,668933,2322,5.101955211024978,3.107151535469108,11.202328847402596,5.355621480274601,2.5744809123561896,11.202328847402596,11.202328847402596,11.202328847402596,3.072123061449475,11.202328847402596
Chris Sale,519242,1670,5.113892215568863,3.108695756493506,3.079220283232283,3.423073741258741,3.116068622848443,11.202328847402596,3.0141939091208325,11.202328847402596,11.202328847402596,11.202328847402596
Kaleb Ort,672391,366,5.137677595628415,3.110356223093372,2.64008895652174,11.202328847402596,4.552509173913043,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Grayson Rodriguez,680570,2103,5.1688873038516405,3.1138430901639347,2.847985609748047,11.202328847402596,3.0889497093889724,11.202328847402596,2.8796786836763166,4.990631564954252,3.708325235198483,11.202328847402596
Zack Greinke,425844,2219,5.066250563316809,3.115940754098361,3.974687731971388,3.678291938665912,2.519055844373061,11.202328847402596,2.434323485805677,2.9006855796365163,2.3621481856872637,11.202328847402596
Sam Moll,594580,1011,5.115568743818002,3.118056001761373,4.3368765004718455,2.577450334587886,11.202328847402596,2.829766461422901,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Keegan Akin,669211,449,5.26109131403118,3.119050095674268,2.5782851408450704,11.202328847402596,3.345930998379658,11.202328847402596,4.94282275928297,11.202328847402596,11.202328847402596,11.202328847402596
John Brebbia,605154,673,5.189093610698366,3.119794801666774,3.5022500654284503,11.202328847402596,2.795128107978977,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Miguel Castro,612434,1007,5.051906653426017,3.123107953608247,11.202328847402596,3.547734882888524,2.538175400019684,11.202328847402596,3.519023042493557,11.202328847402596,11.202328847402596,11.202328847402596
Kyle Harrison,690986,578,5.146678200692041,3.133464491282939,3.3857455723981897,11.202328847402596,11.202328847402596,11.202328847402596,3.9568581479289935,2.2130482500000004,11.202328847402596,11.202328847402596
Ryan Thompson,657044,443,4.985011286681716,3.135490578761409,4.09305502173913,2.665654100635076,3.8096010592105274,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Griffin Canning,656288,2075,5.11842891566265,3.1384196119381462,4.057422501434581,11.202328847402596,2.486585788310116,11.202328847402596,2.800617893255424,2.726880387096774,11.202328847402596,11.202328847402596
Colin Poche,621363,927,5.038015102481122,3.140860598901099,3.155197530260784,11.202328847402596,3.114177976648352,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Johnny Cueto,456501,855,5.122783625730995,3.145039872209185,2.418444260285764,3.2190935071043603,3.54492655214374,11.202328847402596,3.6634044382165607,11.202328847402596,4.672117404458598,11.202328847402596
Justin Verlander,434378,2601,5.086758938869665,3.14680132238193,3.213813731837932,11.202328847402596,2.5913765844677856,11.202328847402596,3.282400469733738,3.6514825930619175,11.202328847402596,11.202328847402596
Daniel Lynch IV,663738,808,5.075779702970297,3.1566031910828025,3.175016895126648,2.6172947006369425,3.532369124371438,11.202328847402596,2.8319292473885347,3.436435859318747,11.202328847402596,11.202328847402596
Hyun Jin Ryu,547943,830,5.077614457831325,3.157480384615385,4.292425535975432,3.624846594449854,11.202328847402596,11.202328847402596,2.371390567765568,2.7776108491332607,2.3109832128858403,11.202328847402596
David Bednar,670280,1102,5.104401088929219,3.1590405,2.810162422230817,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,4.397746050143724,11.202328847402596,2.4906422556403185
Jakob Junis,596001,1385,5.0870541516245495,3.160282186046512,3.959657023255813,4.746933689550812,2.4055723068721333,11.202328847402596,3.6183622143579375,11.202328847402596,11.202328847402596,11.202328847402596
