rank,batter,player_name,team,primary_position,pa_to,pa_last21,prior_fp_per_pa,recency_form_gap,xfp_rh3_per_pa,xfp_rh3_per_game,xfp_rh3_sigma,xfp_rh3_p25,xfp_rh3_p75,expected_pa_remaining,expected_total_fp_remaining,replacement_xfp_per_pa,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta
110,701538,Jackson Merrill,SD,OF,136,69.0,0.5921074323208267,-0.0199,0.5037081930404443,1.76,0.10833760502031821,0.43063447845423974,0.5767819076266489,401.0,202.0,0.48727107056748364,0.0164,hold,5.5,13,100.0,0.325,0.1976
111,807713,Matt Shaw,CHC,OF,86,41.0,0.5164954504060505,-0.0068,0.5033805146013882,1.76,0.10833760502031821,0.4303068000151836,0.5764542291875928,254.0,127.9,0.48727107056748364,0.0161,hold,64.5,60,89.3,0.29,0.1022
112,664770,Nathan Lukes,TOR,OF,56,27.0,0.5923233832135268,0.0071,0.5033801579731019,1.76,0.10833760502031821,0.4303064433868973,0.5764538725593065,165.0,83.1,0.48727107056748364,0.0161,hold,19.3,29,100.0,0.2971,0.1353
113,671277,Luis García Jr.,WSH,1B,112,63.0,0.5613962884450637,-0.0133,0.5016783947930775,1.76,0.10833760502031821,0.4286046802068729,0.5747521093792821,331.0,166.1,0.5657062772493434,-0.064,hold,16.4,93,96.8,0.2759,0.1126
114,681198,TJ Rumfield,COL,1B,141,83.0,0.5059091560109416,-0.0036,0.5011128906530782,1.75,0.10833760502031821,0.4280391760668736,0.5741866052392828,416.0,208.5,0.5657062772493434,-0.0646,hold,,0,,,
115,664702,Myles Straw,TOR,OF,59,43.0,0.4528106590342223,-0.0044,0.5005386898375824,1.75,0.10833760502031821,0.42746497525137783,0.573612404423787,174.0,87.1,0.48727107056748364,0.0133,hold,99.3,605,56.0,0.198,0.0143
116,699912,Jose Fernandez,AZ,1B,98,62.0,0.5059091560109416,-0.0003,0.5001601888522832,1.75,0.10833760502031821,0.4270864742660786,0.5732339034384878,289.0,144.5,0.5657062772493434,-0.0655,hold,,0,,,
117,691594,Javier Sanoja,MIA,3B,76,37.0,0.5451213775927687,-0.002,0.5000191796063685,1.75,0.10833760502031821,0.42694546502016395,0.5730928941925731,224.0,112.0,0.5080282772550816,-0.008,hold,52.5,53,100.0,0.3458,0.1443
118,672515,Gabriel Moreno,AZ,C,54,9.0,0.5472561975290716,-0.0027,0.4961788797874704,1.74,0.10833760502031821,0.42310516520126573,0.569252594373675,159.0,78.9,0.5294573433923947,-0.0333,hold,30.0,87,93.1,0.335,0.1786
119,641487,J.P. Crawford,SEA,SS,115,80.0,0.47568065351674127,-0.0026,0.49577552100266553,1.74,0.10833760502031821,0.42270180641646093,0.5688492355888701,339.0,168.1,0.5251064100749211,-0.0293,hold,62.5,562,77.6,0.26,0.0599
120,679529,Spencer Torkelson,DET,1B,132,73.0,0.48261291132938,0.0001,0.49574270851818303,1.74,0.10833760502031821,0.42266899393197843,0.5688164231043876,390.0,193.3,0.5657062772493434,-0.07,hold,64.4,311,72.0,0.2079,0.038
121,657757,Gavin Sheets,SD,1B,96,48.0,0.4445865713906513,-0.004,0.4956418541332793,1.73,0.10833760502031821,0.42256813954707473,0.5687155687194839,283.0,140.3,0.5657062772493434,-0.0701,hold,58.8,322,77.3,0.25,0.0792
122,695600,Carter Jensen,KC,C,115,69.0,0.6902418921141069,-0.0042,0.49416295841178837,1.73,0.10833760502031821,0.42108924382558377,0.567236672997993,339.0,167.5,0.5294573433923947,-0.0353,hold,,0,,,
123,621020,Dansby Swanson,CHC,SS,134,73.0,0.4872098128271352,0.0042,0.4927732997626654,1.72,0.10833760502031821,0.4196995851764608,0.56584701434887,395.0,194.6,0.5251064100749211,-0.0323,hold,75.6,936,68.4,0.2294,0.0405
124,682657,Angel Martínez,CLE,OF,110,62.0,0.392348856554062,-0.006,0.49177367711326314,1.72,0.10833760502031821,0.41869996252705854,0.5648473916994677,325.0,159.8,0.48727107056748364,0.0045,hold,97.3,145,55.2,0.1741,0.0155
125,687221,Dalton Rushing,LAD,C,57,43.0,0.2986480320022444,-0.0136,0.49126657539184293,1.72,0.10833760502031821,0.41819286080563833,0.5643402899780475,168.0,82.5,0.5294573433923947,-0.0382,hold,100.0,35,100.0,0.2707,0.3167
126,665833,Oneil Cruz,PIT,OF,152,87.0,0.4529565553847375,-0.0134,0.4902764019339366,1.72,0.10833760502031821,0.417202687347732,0.5633501165201412,449.0,220.1,0.48727107056748364,0.003,hold,52.5,181,79.6,0.1634,0.0579
127,660821,Jesús Sánchez,TOR,OF,114,65.0,0.4705988477516846,-0.0087,0.4895020000709767,1.71,0.10833760502031821,0.41642828548477206,0.5625757146571814,336.0,164.5,0.48727107056748364,0.0022,hold,65.7,352,71.0,0.2255,0.0527
128,643289,Mauricio Dubón,ATL,SS,131,72.0,0.5015213520271826,-0.0067,0.48934774404925474,1.71,0.10833760502031821,0.41627402946305014,0.5624214586354593,387.0,189.4,0.5251064100749211,-0.0358,hold,69.6,398,70.6,0.26,0.0501
129,668227,Randy Arozarena,SEA,OF,147,79.0,0.5078897094537164,-0.0216,0.48916450397616124,1.71,0.10833760502031821,0.4160907893899566,0.5622382185623659,434.0,212.3,0.48727107056748364,0.0019,hold,59.7,453,74.2,0.2574,0.0763
130,571448,Nolan Arenado,AZ,3B,116,64.0,0.5459113094727631,0.0225,0.4887772530228695,1.71,0.10833760502031821,0.41570353843666485,0.5618509676090742,342.0,167.2,0.5080282772550816,-0.0193,hold,9.1,138,92.8,0.33,0.1069
131,624585,Jorge Soler,LAA,OF,134,65.0,0.49502276877412577,0.0005,0.4881876548866508,1.71,0.10833760502031821,0.4151139403004461,0.5612613694728554,395.0,192.8,0.48727107056748364,0.0009,hold,45.5,471,87.0,0.2488,0.0941
132,665487,Fernando Tatis Jr.,SD,OF,139,66.0,0.6149762032708793,-0.0041,0.48759508792432765,1.71,0.10833760502031821,0.414521373338123,0.5606688025105323,410.0,199.9,0.48727107056748364,0.0003,hold,1.7,11,100.0,0.3054,0.1849
133,702332,Caleb Durbin,BOS,3B,122,69.0,0.5982383295071987,0.0012,0.4873828194648035,1.71,0.10833760502031821,0.41430910487859884,0.5604565340510081,360.0,175.5,0.5080282772550816,-0.0206,hold,0.0,0,,,
134,592885,Christian Yelich,MIL,OF,56,0.0,0.6137432606891501,-0.0,0.48727107056748364,1.71,0.10833760502031821,0.41419735598127905,0.5603447851536882,165.0,80.4,0.48727107056748364,0.0,hold,35.0,487,92.3,0.2941,0.133
135,669477,Casey Schmitt,SF,1B,109,71.0,0.42140298827247535,0.0044,0.4847725771716854,1.7,0.10833760502031821,0.41169886258548083,0.55784629175789,322.0,156.1,0.5657062772493434,-0.0809,drop,100.0,190,62.6,0.2338,0.0428
136,669236,Jeremiah Jackson,BAL,2B,112,70.0,0.4454949610686118,0.0013,0.4829744346636499,1.69,0.10833760502031821,0.40990072007744527,0.5560481492498546,331.0,159.9,0.512680046762604,-0.0297,hold,15.8,3,33.3,0.2205,-0.0139
137,672960,Kazuma Okamoto,TOR,3B,138,78.0,0.5059091560109416,0.016,0.48222342465124746,1.69,0.10833760502031821,0.40914971006504286,0.555297139237452,407.0,196.3,0.5080282772550816,-0.0258,hold,,0,,,
138,500743,Miguel Rojas,LAD,SS,56,29.0,0.5265021377324601,-0.0001,0.48212770855935283,1.69,0.10833760502031821,0.40905399397314823,0.5552014231455574,165.0,79.6,0.5251064100749211,-0.043,hold,56.3,632,81.1,0.2871,0.0731
139,596142,Gary Sánchez,MIL,C,88,60.0,0.5059649414995011,-0.0107,0.4815825763799615,1.69,0.10833760502031821,0.4085088617937569,0.5546562909661661,260.0,125.2,0.5294573433923947,-0.0479,hold,82.1,681,59.7,0.22,0.0401
140,681481,Kerry Carpenter,DET,OF,109,52.0,0.5825008514256317,0.0002,0.4809267180817403,1.68,0.10833760502031821,0.40785300349553566,0.554000432667945,322.0,154.9,0.48727107056748364,-0.0063,hold,10.8,36,97.2,0.3292,0.2023
141,803011,Sam Antonacci,CWS,OF,62,62.0,0.5059091560109416,0.0074,0.48061110070335133,1.68,0.10833760502031821,0.40753738611714674,0.5536848152895559,183.0,88.0,0.48727107056748364,-0.0067,hold,,0,,,
142,671289,Tyler Freeman,COL,OF,69,46.0,0.5140729708423883,-0.0026,0.48015751784089106,1.68,0.10833760502031821,0.4070838032546864,0.5532312324270957,204.0,98.0,0.48727107056748364,-0.0071,hold,72.4,202,70.3,0.2736,0.0657
143,660688,Keibert Ruiz,WSH,C,66,37.0,0.4943192852552195,-0.0086,0.4787977598574513,1.68,0.10833760502031821,0.4057240452712467,0.5518714744436559,195.0,93.4,0.5294573433923947,-0.0507,hold,13.5,61,92.2,0.315,0.1521
144,608348,Carson Kelly,CHC,C,96,49.0,0.48541681200354797,-0.0129,0.4778736204393332,1.67,0.10833760502031821,0.4047999058531285,0.5509473350255378,283.0,135.2,0.5294573433923947,-0.0516,hold,73.4,449,75.0,0.2698,0.1118
145,663728,Cal Raleigh,SEA,C,147,78.0,0.6050278962779413,0.0122,0.47780721121932834,1.67,0.10833760502031821,0.40473349663312375,0.5508809258055329,434.0,207.4,0.5294573433923947,-0.0517,hold,18.4,108,95.4,0.2494,0.1893
146,605137,Josh Bell,MIN,1B,135,72.0,0.49527018618212426,-0.0078,0.47727370768059824,1.67,0.10833760502031821,0.4041999930943936,0.5503474222668029,398.0,190.0,0.5657062772493434,-0.0884,drop,21.5,269,95.9,0.2759,0.0908
147,694384,Nolan Schanuel,LAA,1B,138,73.0,0.5118971881854513,-0.0099,0.4770521026355039,1.67,0.10833760502031821,0.4039783880492993,0.5501258172217085,407.0,194.2,0.5657062772493434,-0.0887,drop,36.0,99,94.9,0.315,0.096
148,663616,Trevor Larnach,MIN,OF,94,60.0,0.4942524798487561,-0.0074,0.4769250207970269,1.67,0.10833760502031821,0.4038513062108223,0.5499987353832315,277.0,132.1,0.48727107056748364,-0.0103,hold,96.4,400,59.4,0.2426,0.0178
149,650859,Luis Rengifo,MIL,3B,108,61.0,0.48406893472034085,0.0027,0.4769134827748633,1.67,0.10833760502031821,0.40383976818865863,0.5499871973610679,319.0,152.1,0.5080282772550816,-0.0311,hold,41.1,260,85.4,0.215,0.0943
150,687859,Troy Johnston,COL,OF,118,68.0,0.4797289828598612,-0.0006,0.4766910241674392,1.67,0.10833760502031821,0.40361730958123454,0.5497647387536438,348.0,165.9,0.48727107056748364,-0.0106,hold,57.1,8,100.0,0.3014,0.0538
151,694497,Evan Carter,TEX,OF,121,69.0,0.5495544552242008,-0.0151,0.47611305769082096,1.67,0.10833760502031821,0.4030393431046163,0.5491867722770256,357.0,170.0,0.48727107056748364,-0.0112,hold,25.3,24,100.0,0.2761,0.1833
152,682626,Francisco Alvarez,NYM,C,107,59.0,0.48030951764198476,-0.036,0.47590851222565145,1.67,0.10833760502031821,0.40283479763944685,0.548982226811856,316.0,150.4,0.5294573433923947,-0.0535,hold,46.2,120,89.2,0.2382,0.1253
153,670770,TJ Friedl,CIN,OF,134,64.0,0.5570651823118256,0.0098,0.4758309637957999,1.67,0.10833760502031821,0.4027572492095953,0.5489046783820045,395.0,188.0,0.48727107056748364,-0.0114,hold,0.2,1,100.0,0.4428,0.3012
154,694671,Wyatt Langford,TEX,OF,84,30.0,0.5347119923110042,0.0042,0.4751752395033899,1.66,0.10833760502031821,0.4021015249171853,0.5482489540895945,248.0,117.8,0.48727107056748364,-0.0121,hold,34.3,85,90.6,0.2836,0.1538
155,668885,Austin Martin,MIN,OF,95,53.0,0.4829731979382036,-0.0033,0.47438631684893084,1.66,0.10833760502031821,0.40131260226272625,0.5474600314351354,280.0,132.8,0.48727107056748364,-0.0129,hold,100.0,99,79.6,0.28,0.0419
156,543760,Marcus Semien,NYM,2B,134,70.0,0.5751257124737407,0.0053,0.4731675420000329,1.66,0.10833760502031821,0.40009382741382826,0.5462412565862376,395.0,186.9,0.512680046762604,-0.0395,hold,3.4,52,100.0,0.2953,0.2071
157,663886,Tyler Stephenson,CIN,C,94,52.0,0.4575220389294841,-0.0015,0.47252558798553224,1.65,0.10833760502031821,0.39945187339932764,0.5455993025717368,277.0,130.9,0.5294573433923947,-0.0569,hold,13.7,71,95.8,0.1719,0.0807
158,686527,Dominic Canzone,SEA,OF,80,42.0,0.4826527721428731,-0.0052,0.47127366156308637,1.65,0.10833760502031821,0.39819994697688177,0.544347376149291,236.0,111.2,0.48727107056748364,-0.016,hold,69.0,120,78.8,0.2655,0.0812
159,702222,Justin Crawford,PHI,OF,107,58.0,0.5059091560109416,-0.0017,0.471023414391563,1.65,0.10833760502031821,0.3979496998053583,0.5440971289777676,316.0,148.8,0.48727107056748364,-0.0162,hold,,0,,,
160,521692,Salvador Perez,KC,C,141,77.0,0.5141877197015436,-0.0038,0.4706905903780047,1.65,0.10833760502031821,0.39761687579180005,0.5437643049642094,416.0,195.8,0.5294573433923947,-0.0588,hold,15.8,201,97.0,0.2822,0.1554
161,805300,Jakob Marsee,MIA,OF,151,79.0,0.6249502417534221,0.0053,0.4706697455719775,1.65,0.10833760502031821,0.3975960309857729,0.5437434601581821,446.0,209.9,0.48727107056748364,-0.0166,hold,0.0,0,,,
162,682985,Riley Greene,DET,OF,145,76.0,0.5148729964935221,0.0022,0.46995974868100543,1.64,0.10833760502031821,0.39688603409480083,0.54303346326721,428.0,201.1,0.48727107056748364,-0.0173,hold,67.0,303,71.3,0.2365,0.052
163,655316,Andruw Monasterio,BOS,SS,51,38.0,0.4351682710226919,0.0014,0.4685753236097706,1.64,0.10833760502031821,0.395501609023566,0.5416490381959752,151.0,70.8,0.5251064100749211,-0.0565,hold,74.0,128,72.2,0.1823,0.0632
164,668804,Bryan Reynolds,PIT,OF,156,89.0,0.48997080549181027,-0.0032,0.4676800036610693,1.64,0.10833760502031821,0.3946062890748647,0.5407537182472739,460.0,215.1,0.48727107056748364,-0.0196,hold,42.6,389,79.7,0.2562,0.0733
165,657041,Lane Thomas,KC,OF,75,47.0,0.4769680266565829,0.0061,0.4672133409436888,1.64,0.10833760502031821,0.39413962635748423,0.5402870555298934,221.0,103.3,0.48727107056748364,-0.0201,hold,66.3,366,75.8,0.2426,0.0865
166,680757,Steven Kwan,CLE,OF,145,79.0,0.5809857573855026,-0.0023,0.46720849468232367,1.64,0.10833760502031821,0.394134780096119,0.5402822092685283,428.0,200.0,0.48727107056748364,-0.0201,hold,4.2,23,100.0,0.38,0.1283
167,686555,Isaac Collins,KC,OF,106,57.0,0.5585816726980034,0.0065,0.46591434382087216,1.63,0.10833760502031821,0.39284062923466756,0.5389880584070768,313.0,145.8,0.48727107056748364,-0.0214,hold,16.5,18,100.0,0.2921,0.1665
168,673357,Luis Robert Jr.,NYM,OF,98,39.0,0.4751295278456595,-0.0222,0.46559731553899486,1.63,0.10833760502031821,0.39252360095279026,0.5386710301251995,289.0,134.6,0.48727107056748364,-0.0217,hold,56.2,306,77.8,0.2173,0.0837
169,664761,Alec Bohm,PHI,3B,132,71.0,0.5706159552122263,-0.0006,0.46477999411998216,1.63,0.10833760502031821,0.39170627953377757,0.5378537087061868,390.0,181.3,0.5080282772550816,-0.0432,hold,11.8,81,100.0,0.2587,0.2216
170,678554,Curtis Mead,WSH,1B,82,53.0,0.32826985055792124,-0.0111,0.4646498858221436,1.63,0.10833760502031821,0.391576171235939,0.5377236004083482,242.0,112.4,0.5657062772493434,-0.1011,drop,100.0,125,67.5,0.175,0.0495
171,657656,Ramón Laureano,SD,OF,132,70.0,0.5097197294865985,-0.0205,0.4632045579264055,1.62,0.10833760502031821,0.3901308433402009,0.5362782725126102,390.0,180.6,0.48727107056748364,-0.0241,hold,27.3,189,87.3,0.2118,0.1212
172,680776,Jarren Duran,BOS,OF,123,70.0,0.5668456139862974,-0.0041,0.46319437895480525,1.62,0.10833760502031821,0.3901206643686006,0.5362680935410099,363.0,168.1,0.48727107056748364,-0.0241,hold,13.2,63,100.0,0.209,0.1572
173,641343,Jake Bauers,MIL,1B,123,73.0,0.42320554069067245,-0.0084,0.4631438848660801,1.62,0.10833760502031821,0.39007017027987545,0.5362175994522848,363.0,168.1,0.5657062772493434,-0.1026,drop,91.9,523,59.7,0.1478,0.0331
174,606192,Teoscar Hernández,LAD,OF,122,70.0,0.5095665062327757,0.0003,0.4628358011444876,1.62,0.10833760502031821,0.3897620865582829,0.5359095157306922,360.0,166.6,0.48727107056748364,-0.0244,hold,36.6,387,93.0,0.2206,0.1168
175,641584,Jake Fraley,TB,OF,74,38.0,0.5359226455791279,0.0014,0.462832586538158,1.62,0.10833760502031821,0.38975887195195336,0.5359063011243627,218.0,100.9,0.48727107056748364,-0.0244,hold,35.1,152,91.5,0.2637,0.1234
176,669224,Austin Wells,NYY,C,92,51.0,0.49426832129380793,0.0024,0.4623125103088197,1.62,0.10833760502031821,0.3892387957226151,0.5353862248950243,272.0,125.7,0.5294573433923947,-0.0671,hold,48.9,110,78.7,0.2098,0.0485
177,593871,Jorge Polanco,NYM,1B,61,7.0,0.5174898448327843,0.0008,0.46183788097433465,1.62,0.10833760502031821,0.38876416638813005,0.5349115955605392,180.0,83.1,0.5657062772493434,-0.1039,drop,18.7,200,94.0,0.3094,0.2277
178,602104,Ramón Urías,STL,3B,68,34.0,0.443361562214892,-0.013,0.4617316986221278,1.62,0.10833760502031821,0.3886579840359232,0.5348054132083324,201.0,92.8,0.5080282772550816,-0.0463,hold,53.6,269,73.9,0.215,0.0568
179,650402,Gleyber Torres,DET,2B,144,75.0,0.5357235926731699,0.0053,0.46155264137763424,1.62,0.10833760502031821,0.3884789267914296,0.5346263559638389,425.0,196.2,0.512680046762604,-0.0511,hold,50.3,503,73.4,0.2703,0.0649
180,669394,Jake Burger,TEX,1B,141,78.0,0.49488410212519723,-0.0038,0.4609756085472872,1.61,0.10833760502031821,0.38790189396108254,0.5340493231334918,416.0,191.8,0.5657062772493434,-0.1047,drop,11.2,46,100.0,0.2966,0.2287
181,664983,Jake McCarthy,COL,OF,73,37.0,0.49968844982325417,-0.0026,0.460212627489121,1.61,0.10833760502031821,0.38713891290291635,0.5332863420753257,215.0,98.9,0.48727107056748364,-0.0271,hold,68.9,261,88.5,0.2461,0.074
182,665926,Andrés Giménez,TOR,SS,119,60.0,0.47904597935999194,-0.014,0.45994404928630883,1.61,0.10833760502031821,0.38687033470010423,0.5330177638725134,351.0,161.4,0.5251064100749211,-0.0652,hold,67.8,421,67.7,0.2398,0.0452
183,664728,Kyle Isbel,KC,OF,95,50.0,0.443504770231484,-0.0039,0.45946637760198217,1.61,0.10833760502031821,0.38639266301577757,0.5325400921881868,280.0,128.7,0.48727107056748364,-0.0278,hold,72.1,312,70.0,0.2074,0.0354
184,683737,Michael Busch,CHC,1B,146,85.0,0.546533539628377,0.011,0.45904299134786075,1.61,0.10833760502031821,0.38596927676165615,0.5321167059340653,431.0,197.8,0.5657062772493434,-0.1067,drop,28.8,85,95.3,0.255,0.1472
185,671218,Heliot Ramos,SF,OF,126,70.0,0.46502139888682104,0.0306,0.4549272515046242,1.59,0.10833760502031821,0.3818535369184196,0.5280009660908288,372.0,169.2,0.48727107056748364,-0.0323,hold,26.5,74,94.6,0.2078,0.082
186,641933,Tyler O'Neill,BAL,OF,54,20.0,0.4864640343239879,-0.0035,0.454663302770854,1.59,0.10833760502031821,0.3815895881846494,0.5277370173570586,159.0,72.3,0.48727107056748364,-0.0326,hold,45.3,276,96.4,0.2357,0.1607
187,663647,Ke'Bryan Hayes,CIN,3B,90,49.0,0.40102733921477596,-0.0014,0.45349736589802087,1.59,0.10833760502031821,0.3804236513118162,0.5265710804842255,266.0,120.6,0.5080282772550816,-0.0545,hold,11.9,71,100.0,0.165,0.1039
188,663743,Nick Fortes,TB,C,89,45.0,0.3798293209955037,-0.0079,0.4529948030209413,1.59,0.10833760502031821,0.3799210884347367,0.5260685176071459,263.0,119.1,0.5294573433923947,-0.0765,drop,80.1,273,61.3,0.2,0.0375
189,808975,Hyeseong Kim,LAD,SS,68,51.0,0.41541126781160786,-0.0006,0.4526607137497365,1.58,0.10833760502031821,0.3795869991635319,0.5257344283359411,201.0,91.0,0.5251064100749211,-0.0724,hold,73.0,27,28.6,0.0685,-0.0755
190,676356,Jonny DeLuca,TB,OF,72,42.0,0.4096267715029155,-0.0053,0.4519417904350016,1.58,0.10833760502031821,0.378868075848797,0.5250155050212062,212.0,95.8,0.48727107056748364,-0.0353,hold,69.0,80,84.5,0.2525,0.144
191,642715,Willy Adames,SF,SS,136,73.0,0.5248445523743466,-0.0197,0.4514773790751232,1.58,0.10833760502031821,0.3784036644889186,0.5245510936613278,401.0,181.0,0.5251064100749211,-0.0736,drop,6.1,61,100.0,0.27,0.2302
192,701675,Nathan Church,STL,OF,104,69.0,0.3832034880041682,0.0117,0.45101301925324994,1.58,0.10833760502031821,0.3779393046670453,0.5240867338394546,307.0,138.5,0.48727107056748364,-0.0363,hold,,0,,,
193,687551,Drew Gilbert,SF,OF,52,52.0,0.461575774936251,-0.0076,0.45063140512903377,1.58,0.10833760502031821,0.37755769054282917,0.5237051197152384,153.0,68.9,0.48727107056748364,-0.0366,hold,16.666666666666664,3,,,
194,592206,Nick Castellanos,SD,OF,65,27.0,0.49573772946171013,-0.0191,0.4502920479765302,1.58,0.10833760502031821,0.3772183333903256,0.5233657625627348,192.0,86.5,0.48727107056748364,-0.037,hold,5.4,81,100.0,0.2531,0.2285
195,592626,Joc Pederson,TEX,1B,93,56.0,0.5307606397005182,0.0137,0.4492476819213845,1.57,0.10833760502031821,0.3761739673351798,0.5223213965075891,274.0,123.1,0.5657062772493434,-0.1165,drop,10.9,142,97.2,0.2675,0.1718
196,690993,Colt Keith,DET,3B,104,48.0,0.46918174458484213,-0.0064,0.4487125593253085,1.57,0.10833760502031821,0.3756388447391039,0.5217862739115131,307.0,137.8,0.5080282772550816,-0.0593,hold,34.1,87,96.6,0.2822,0.1271
197,656775,Cedric Mullins,TB,OF,113,57.0,0.530753523488964,-0.0001,0.44827530977273383,1.57,0.10833760502031821,0.3752015951865292,0.5213490243589385,333.0,149.3,0.48727107056748364,-0.039,hold,7.7,59,100.0,0.2611,0.24
198,802415,Chandler Simpson,TB,OF,143,84.0,0.5472689526828225,-0.0124,0.44781733626811104,1.57,0.10833760502031821,0.37474362168190645,0.5208910508543156,422.0,189.0,0.48727107056748364,-0.0395,hold,38.7,29,100.0,0.2857,0.0486
199,663697,Jonathan India,KC,2B,58,11.0,0.49236090178402847,-0.0034,0.44744402281629947,1.57,0.10833760502031821,0.3743703082300949,0.5205177374025041,171.0,76.5,0.512680046762604,-0.0652,hold,29.5,190,98.3,0.2941,0.1399
200,701350,Roman Anthony,BOS,OF,130,67.0,0.537132263091655,0.0086,0.44743016358350274,1.57,0.10833760502031821,0.37435644899729814,0.5205038781697073,384.0,171.8,0.48727107056748364,-0.0398,hold,0.0,0,,,
201,668904,Royce Lewis,MIN,3B,84,39.0,0.5387760374857989,-0.0148,0.4454885034240344,1.56,0.10833760502031821,0.37241478883782975,0.518562218010239,248.0,110.5,0.5080282772550816,-0.0625,hold,16.1,38,100.0,0.2861,0.2065
202,669065,Kyle Stowers,MIA,OF,53,53.0,0.5116336334442673,-0.0033,0.4453329557724724,1.56,0.10833760502031821,0.37225924118626774,0.518406670358677,156.0,69.5,0.48727107056748364,-0.0419,hold,41.4,87,92.7,0.1588,0.225
203,663837,Matt Vierling,DET,OF,78,56.0,0.4610233510824455,0.0075,0.4449998537668088,1.56,0.10833760502031821,0.37192613918060413,0.5180735683530134,230.0,102.3,0.48727107056748364,-0.0423,hold,49.3,208,89.5,0.2185,0.0927
204,542303,Marcell Ozuna,PIT,DH,121,73.0,0.5830958504705053,0.0162,0.4444787915786378,1.56,0.10833760502031821,0.3714050769924332,0.5175525061648424,357.0,158.7,0.4407941827519389,0.0037,hold,4.3,58,100.0,0.2544,0.2136
205,663968,Jake Mangum,PIT,OF,79,47.0,0.49090909646148756,0.0016,0.44332183420527865,1.55,0.10833760502031821,0.370248119619074,0.5163955487914833,233.0,103.3,0.48727107056748364,-0.0439,hold,19.6,18,100.0,0.2369,0.1572
206,642201,Eli White,ATL,OF,53,38.0,0.4975524558988386,-0.0011,0.4428683327877969,1.55,0.10833760502031821,0.3697946182015923,0.5159420473740015,156.0,69.1,0.48727107056748364,-0.0444,hold,86.7,183,71.8,0.1532,0.0676
207,665862,Jazz Chisholm Jr.,NYY,2B,130,74.0,0.5624991266680308,0.0207,0.44258760480797615,1.55,0.10833760502031821,0.3695138902217715,0.5156613193941808,384.0,170.0,0.512680046762604,-0.0701,hold,6.4,35,100.0,0.235,0.1334
208,592663,J.T. Realmuto,PHI,C,68,28.0,0.4532897255384176,-0.0074,0.44252947097152134,1.55,0.10833760502031821,0.3694557563853167,0.515603185557726,201.0,88.9,0.5294573433923947,-0.0869,drop,33.1,443,94.0,0.2637,0.1039
209,673237,Yainer Diaz,HOU,C,106,54.0,0.5349110024309359,0.006,0.44217672737110864,1.55,0.10833760502031821,0.369103012784904,0.5152504419573133,313.0,138.4,0.5294573433923947,-0.0873,drop,17.1,64,92.2,0.2811,0.1466
210,605170,Victor Caratini,MIN,C,101,46.0,0.48587019954078875,-0.0131,0.44157275611482205,1.55,0.10833760502031821,0.36849904152861745,0.5146464707010266,298.0,131.6,0.5294573433923947,-0.0879,drop,34.7,235,90.6,0.2217,0.0847
211,691718,Pete Crow-Armstrong,CHC,OF,140,77.0,0.5593546902757355,0.0149,0.44102553642550757,1.54,0.10833760502031821,0.367951821839303,0.5140992510117122,413.0,182.1,0.48727107056748364,-0.0462,hold,30.9,76,98.7,0.2673,0.1962
212,519317,Giancarlo Stanton,NYY,DH,92,41.0,0.5153774672352339,-0.0016,0.4407941827519389,1.54,0.10833760502031821,0.3677204681657342,0.5138678973381435,272.0,119.9,0.4407941827519389,0.0,hold,20.6,220,96.8,0.2815,0.2007
213,680728,Adrian Del Castillo,AZ,C,66,49.0,0.4027902897707824,-0.0081,0.44012418430096106,1.54,0.10833760502031821,0.3670504697147564,0.5131978988871657,195.0,85.8,0.5294573433923947,-0.0893,drop,66.7,34,68.2,0.1032,0.0416
214,666969,Adolis García,PHI,OF,133,72.0,0.48818268117501534,0.0019,0.4401214490671658,1.54,0.10833760502031821,0.3670477344809612,0.5131951636533705,393.0,173.0,0.48727107056748364,-0.0471,hold,43.6,315,80.0,0.18,0.0653
215,680700,Richie Palacios,TB,2B,63,38.0,0.519742890685852,-0.0105,0.4401082325371187,1.54,0.10833760502031821,0.36703451795091413,0.5131819471233233,186.0,81.9,0.512680046762604,-0.0726,hold,41.4,70,100.0,0.3085,0.164
216,543877,Christian Vázquez,HOU,C,60,35.0,0.33125709603389414,-0.0087,0.44008294480605986,1.54,0.10833760502031821,0.3670092302198552,0.5131566593922645,177.0,77.9,0.5294573433923947,-0.0894,drop,89.5,794,62.5,0.2315,0.0385
217,665966,Carlos Narváez,BOS,C,74,39.0,0.45110363423958366,-0.0111,0.43919000746394904,1.54,0.10833760502031821,0.3661162928777444,0.5122637220501537,218.0,95.7,0.5294573433923947,-0.0903,drop,4.9,5,100.0,0.2574,0.1774
218,686797,Brooks Lee,MIN,SS,119,74.0,0.4506094500564771,0.0003,0.4374568259378856,1.53,0.10833760502031821,0.364383111351681,0.5105305405240902,351.0,153.5,0.5251064100749211,-0.0876,drop,66.9,105,83.8,0.2376,0.0591
219,694377,Nick Yorke,PIT,3B,78,37.0,0.41282469857533627,-0.0143,0.4373863991430097,1.53,0.10833760502031821,0.3643126845568051,0.5104601137292143,230.0,100.6,0.5080282772550816,-0.0706,hold,100.0,12,100.0,0.2035,0.093
